arm,run,event,site,onset,r0,rlag,tgt_peak,ach_peak,peak_ratio,ach_absmod,ach_max_raw,rmse
Choi,r2,32,D3,7023,0.4894464630948623,0.7300093133139965,0.000344954722,0.0009284032230439999,2.691377052794772,0.0009284032230439999,0.000979539938,7.983370323532386e-05
Choi,r2,33,LP,7243,0.49462271280244996,0.8511387595228462,0.0005547675,0.0008451569042227999,1.5234434321094872,0.0008451569042227999,0.00088645221,5.648534821831596e-05
Choi,r2,34,SHAM,7463,-0.03943000184391024,-0.03695882694130116,3.8326943999999994e-05,5.5518536343999994e-05,1.4485510857322723,6.5383515226e-05,0.000129096778,4.1508965738110246e-05
Choi,r2,35,D2,7683,0.5309536524328752,0.7557409440173127,0.000360804722,0.0009295909817360001,2.5764379595231577,0.0009295909817360001,0.00100846228,7.150008454565568e-05
Choi,r2,36,P2,7903,0.44514061868446664,0.8585971115922866,0.000393803889,0.0008035149956552,2.0403937546061157,0.0008035149956552,0.000856823346,5.8425419380698284e-05
Choi,r2,37,D2,8123,0.5928502329768129,0.8043067826509528,0.000360804722,0.001034916144952,2.8683553231102112,0.001034916144952,0.00109255197,7.17781098533569e-05
Choi,r2,38,SHAM,8343,-0.12423516969675907,-0.13384497501440104,3.8326943999999994e-05,0.00012511646050000002,3.264451778362502,0.00012511646050000002,0.00019101784,4.15281381718887e-05
Choi,r2,39,D3,8563,0.47297962267967264,0.8269717827349269,0.000344954722,0.00110497020862,3.2032325930010024,0.00110497020862,0.00115567923,7.365701268718518e-05
Choi,r2,40,LP,8783,0.5349721024185915,0.8699450478440388,0.0005547675,0.0009287139442480001,1.6740597534066073,0.0009287139442480001,0.000967314001,5.7229258747382946e-05
Choi,r2,41,P2,9003,0.40957791480556044,0.8316344328325599,0.000393803889,0.00084637274349,2.1492239338702923,0.00084637274349,0.000889856718,6.138187317329634e-05
Choi,r2,42,D1,9223,0.3971625228176061,0.7425970364418661,0.00033995777800000003,0.000764136324212,2.2477389066003366,0.000764136324212,0.000820754853,6.317326023310491e-05
Choi,r2,43,D1,9443,0.4002397240458897,0.8467232112660096,0.00033995777800000003,0.00099538905354,2.9279784666082858,0.00099538905354,0.00103794271,7.127729038376959e-05
Choi,r2,44,D3,9663,0.5328385393606151,0.7163720248112603,0.000344954722,0.0009870689078320001,2.86144483574282,0.0009870689078320001,0.00103894761,7.622052935194662e-05
Choi,r2,45,SHAM,9883,-0.0244003879571552,0.004356076309794473,3.8326943999999994e-05,0.00011397299622400001,2.9737042490003907,0.00011397299622400001,0.000159354095,3.08894180624502e-05
Choi,r2,46,P2,10103,0.43212343399887254,0.7173040185823195,0.000393803889,0.0007425899714928,1.885684708138573,0.0007425899714928,0.000779485214,6.613627931149279e-05
Choi,r2,47,LP,10323,0.43370621557332517,0.8354784989995961,0.0005547675,0.00080597280912,1.4528118700536712,0.00080597280912,0.000860288099,4.228912885496704e-05
Choi,r2,48,D2,10543,0.5023825166444994,0.66098760327854,0.000360804722,0.0006081540335928001,1.685548986780722,0.0006081540335928001,0.000644341344,6.598328399676433e-05
Choi,r2,49,SHAM,10763,0.063662043261194,0.057823366813584354,3.8326943999999994e-05,0.00011383903658800001,2.970209067229572,0.00011383903658800001,0.000155217786,2.9324632330777087e-05
Choi,r2,50,D3,10983,0.5369142190336817,0.7554483574159996,0.000344954722,0.00078431265556,2.2736684136766216,0.00078431265556,0.00083843444,5.648565826109501e-05
