tick,u1,u2,u3,u4,u5,u6,u7,u8
529,30,0,0,10,0,0,0,0
530,30,0,0,10,0,0,0,0
531,10,0,0,30,0,0,0,0
532,10,0,0,30,0,0,0,0
533,10,0,0,30,0,0,0,0
534,10,0,0,30,0,0,0,0
535,10,0,0,30,0,0,0,0
536,30,0,0,10,0,0,0,0
537,30,0,0,10,0,0,0,0
538,30,0,0,10,0,0,0,0
539,30,0,0,10,0,0,0,0
540,30,0,0,10,0,0,0,0
541,10,0,0,10,0,0,0,0
542,10,0,0,10,0,0,0,0
543,10,0,0,10,0,0,0,0
544,10,0,0,10,0,0,0,0
545,10,0,0,10,0,0,0,0
546,30,0,0,10,0,0,0,0
547,30,0,0,10,0,0,0,0
548,30,0,0,10,0,0,0,0
549,30,0,0,10,0,0,0,0
550,30,0,0,10,0,0,0,0
551,10,0,0,30,0,0,0,0
552,10,0,0,30,0,0,0,0
553,10,0,0,30,0,0,0,0
554,10,0,0,30,0,0,0,0
555,10,0,0,30,0,0,0,0
556,30,0,0,10,0,0,0,0
557,30,0,0,10,0,0,0,0
558,30,0,0,10,0,0,0,0
559,30,0,0,10,0,0,0,0
560,30,0,0,10,0,0,0,0
561,30,0,0,30,0,0,0,0
562,30,0,0,30,0,0,0,0
563,30,0,0,30,0,0,0,0
564,30,0,0,30,0,0,0,0
565,30,0,0,30,0,0,0,0
566,30,0,0,30,0,0,0,0
567,30,0,0,30,0,0,0,0
568,30,0,0,30,0,0,0,0
569,30,0,0,30,0,0,0,0
570,30,0,0,30,0,0,0,0
571,10,0,0,10,0,0,0,0
572,10,0,0,10,0,0,0,0
573,10,0,0,10,0,0,0,0
574,10,0,0,10,0,0,0,0
575,10,0,0,10,0,0,0,0
576,10,0,0,10,0,0,0,0
577,10,0,0,10,0,0,0,0
578,10,0,0,10,0,0,0,0
579,10,0,0,10,0,0,0,0
580,10,0,0,10,0,0,0,0
581,10,0,0,10,0,0,0,0
582,10,0,0,10,0,0,0,0
