tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8
151,151,712.4237,22.3779997,0,0,27.3456434,0,0,0,0,4.45498517e-05,-7.97815301e-06,0,0,0,0,0,0
152,152,712.4779,22.384368,0,0,27.4165692,0,0,0,0,4.52771746e-05,-7.42627344e-06,0,0,0,0,0,0
153,153,712.5096,22.4660907,0,0,27.6373321,0,0,0,0,4.67952377e-05,-7.13777354e-06,0,0,0,0,0,0
154,154,712.5434,22.4752999,0,0,27.6496598,0,0,0,0,4.59314397e-05,-6.93124821e-06,0,0,0,0,0,0
155,155,712.579,22.4771743,0,0,27.6474214,0,0,0,0,4.5212033e-05,-6.81851043e-06,0,0,0,0,0,0
156,156,712.6104,22.4690399,0,0,27.6290858,0,0,0,0,4.45751248e-05,-6.75991987e-06,0,0,0,0,0,0
157,157,712.6423,22.4755755,0,0,27.6520365,0,0,0,0,4.45370606e-05,-6.73643444e-06,0,0,0,0,0,0
158,158,712.675,22.4831736,0,0,27.6756327,0,0,0,0,4.45170081e-05,-6.720084e-06,0,0,0,0,0,0
159,159,712.7069,22.4906908,0,0,27.6962826,0,0,0,0,4.44939215e-05,-6.70618238e-06,0,0,0,0,0,0
160,160,712.7388,22.4940001,0,0,27.7050523,0,0,0,0,4.43718054e-05,-6.69343899e-06,0,0,0,0,0,0
161,161,712.7708,22.4960888,0,0,27.7109118,0,0,0,0,4.42757482e-05,-6.68435086e-06,0,0,0,0,0,0
162,162,712.8023,22.4976268,0,0,27.7156932,0,0,0,0,4.42064993e-05,-6.67810446e-06,0,0,0,0,0,0
163,163,712.8339,22.4994321,0,0,27.7211371,0,0,0,0,4.41754783e-05,-6.67374752e-06,0,0,0,0,0,0
164,164,712.8647,22.5009883,0,0,27.7256912,0,0,0,0,4.41498887e-05,-6.67017002e-06,0,0,0,0,0,0
165,165,712.8959,22.5022133,0,0,27.7291801,0,0,0,0,4.41270531e-05,-6.6671646e-06,0,0,0,0,0,0
166,166,712.9266,22.5030579,0,0,27.731595,0,0,0,0,4.4103439e-05,-6.66469714e-06,0,0,0,0,0,0
167,167,712.96,22.5037019,0,0,27.7334666,0,0,0,0,4.40852455e-05,-6.66278947e-06,0,0,0,0,0,0
168,168,713.0466,22.5042218,0,0,27.734996,0,0,0,0,4.40716394e-05,-6.66132382e-06,0,0,0,0,0,0
169,169,713.1817,22.5046613,0,0,27.7362826,0,0,0,0,4.40621661e-05,-6.66018059e-06,0,0,0,0,0,0
170,170,713.1976,22.5050143,0,0,27.7373085,0,0,0,0,4.40544682e-05,-6.65926245e-06,0,0,0,0,0,0
171,171,713.2329,22.5052905,0,0,27.7381076,0,0,0,0,4.40481272e-05,-6.65852485e-06,0,0,0,0,0,0
172,172,713.2645,22.5055034,0,0,27.7387251,0,0,0,0,4.40427975e-05,-6.65793777e-06,0,0,0,0,0,0
173,173,713.2963,22.5056714,0,0,27.739214,0,0,0,0,4.40386393e-05,-6.65747621e-06,0,0,0,0,0,0
174,174,713.3298,22.5058056,0,0,27.7396052,0,0,0,0,4.40354124e-05,-6.65711286e-06,0,0,0,0,0,0
175,175,713.3612,22.5059132,0,0,27.7399184,0,0,0,0,4.40329277e-05,-6.6568241e-06,0,0,0,0,0,0
176,176,713.3927,22.5059986,0,0,27.7401666,0,0,0,0,4.40309414e-05,-6.65659536e-06,0,0,0,0,0,0
177,177,713.4235,22.5060659,0,0,27.7403622,0,0,0,0,4.40293516e-05,-6.65641346e-06,0,0,0,0,0,0
178,178,713.4543,22.506119,0,0,27.7405166,0,0,0,0,4.4028071e-05,-6.65626931e-06,0,0,0,0,0,0
179,179,713.4853,22.5061611,0,0,27.7406391,0,0,0,0,4.40270633e-05,-6.65615516e-06,0,0,0,0,0,0
180,180,713.5215,22.5061945,0,0,27.7407363,0,0,0,0,4.40262702e-05,-6.65606512e-06,0,0,0,0,0,0
181,181,713.5614,22.494811,0,0,27.7209227,0,0,0,0,4.40256445e-05,-6.65599282e-06,0,0,0,0,0,0
182,182,713.6031,22.4809773,0,0,27.6963947,0,0,0,0,4.40205658e-05,-6.66436654e-06,0,0,0,0,0,0
183,183,713.6431,22.4621317,0,0,27.660586,0,0,0,0,4.40141084e-05,-6.67910172e-06,0,0,0,0,0,0
184,184,713.6832,22.4375991,0,0,27.612912,0,0,0,0,4.39843752e-05,-6.70087502e-06,0,0,0,0,0,0
185,185,713.7243,22.4074226,0,0,27.5555937,0,0,0,0,4.39530086e-05,-6.73054956e-06,0,0,0,0,0,0
186,186,713.7673,22.3787686,0,0,27.5096985,0,0,0,0,4.39149262e-05,-6.76855188e-06,0,0,0,0,0,0
187,187,713.8074,22.3446554,0,0,27.4563097,0,0,0,0,4.38782954e-05,-6.80980702e-06,0,0,0,0,0,0
188,188,713.8475,22.2971395,0,0,27.3739502,0,0,0,0,4.3835531e-05,-6.85672831e-06,0,0,0,0,0,0
189,189,713.8873,22.1918507,0,0,27.1441216,0,0,0,0,4.37984454e-05,-6.91654304e-06,0,0,0,0,0,0
190,190,713.9272,22.0626816,0,0,26.8704762,0,0,0,0,4.3731703e-05,-7.02591296e-06,0,0,0,0,0,0
191,191,713.9673,21.9197525,0,0,26.5896081,0,0,0,0,4.36347946e-05,-7.17947842e-06,0,0,0,0,0,0
192,192,714.0071,21.9537066,0,0,26.8256799,0,0,0,0,4.3431337e-05,-7.36643642e-06,0,0,0,0,0,0
193,193,714.0471,21.9192017,0,0,26.8762108,0,0,0,0,4.32903325e-05,-7.44007548e-06,0,0,0,0,0,0
194,194,714.087,21.804856,0,0,26.7050128,0,0,0,0,4.31455446e-05,-7.50267418e-06,0,0,0,0,0,0
195,195,714.1267,20.6284222,0,0,23.6453981,0,0,0,0,4.33539208e-05,-7.61947695e-06,0,0,0,0,0,0
196,196,714.1666,19.8147792,0,0,21.7762483,0,0,0,0,4.29460524e-05,-8.55057351e-06,0,0,0,0,0,0
197,197,714.2067,18.8858781,0,0,19.7907819,0,0,0,0,4.24702812e-05,-9.65212712e-06,0,0,0,0,0,0
198,198,714.2467,22.6968594,0,0,30,0,0,0,0,3.99137789e-05,-1.09213543e-05,0,0,0,0,0,0
199,199,714.2849,22.68771,0,0,30,0,0,0,0,4.05047285e-05,-8.77504681e-06,0,0,0,0,0,0
200,200,714.3232,23.4591843,0,0,30,0,0,0,0,3.98161465e-05,-7.60680769e-06,0,0,0,0,0,0
201,201,714.4269,23.9078488,0,0,30,0,0,0,0,4.88350524e-05,-6.42735995e-06,0,0,0,0,0,0
202,202,714.4666,23.9383822,0,0,30,0,0,0,0,4.82126306e-05,-5.4779025e-06,0,0,0,0,0,0
203,203,714.5045,24.0419708,0,0,30,0,0,0,0,4.90878374e-05,-4.96092844e-06,0,0,0,0,0,0
204,204,714.5419,23.9266186,0,0,30,0,0,0,0,4.66982638e-05,-4.62043681e-06,0,0,0,0,0,0
205,205,714.5824,23.9257507,0,0,30,0,0,0,0,4.61665986e-05,-4.53131543e-06,0,0,0,0,0,0
206,206,714.6182,23.9128064,0,0,30,0,0,0,0,4.56213565e-05,-4.48987203e-06,0,0,0,0,0,0
207,207,714.6545,23.9546306,0,0,30,0,0,0,0,4.56409944e-05,-4.47945877e-06,0,0,0,0,0,0
208,208,714.6894,23.9639156,0,0,30,0,0,0,0,4.55070367e-05,-4.44395209e-06,0,0,0,0,0,0
209,209,714.7245,23.9728962,0,0,30,0,0,0,0,4.5398443e-05,-4.41829616e-06,0,0,0,0,0,0
210,210,714.7588,23.9666053,0,0,30,0,0,0,0,4.52922322e-05,-4.39831092e-06,0,0,0,0,0,0
211,211,714.792,23.9680881,0,0,30,0,0,0,0,4.51895176e-05,-4.39258474e-06,0,0,0,0,0,0
212,212,714.8259,23.9692932,0,0,30,0,0,0,0,4.51138039e-05,-4.38872075e-06,0,0,0,0,0,0
213,213,714.859,23.9736757,0,0,30,0,0,0,0,4.50343177e-05,-4.38588449e-06,0,0,0,0,0,0
214,214,714.8923,23.9753488,0,0,30,0,0,0,0,4.49938998e-05,-4.38119332e-06,0,0,0,0,0,0
215,215,714.934,23.9765144,0,0,30,0,0,0,0,4.49611107e-05,-4.37747622e-06,0,0,0,0,0,0
216,216,714.9761,23.9765395,0,0,30,0,0,0,0,4.4946948e-05,-4.37467588e-06,0,0,0,0,0,0
217,217,715.0099,23.9770415,0,0,30,0,0,0,0,4.49247636e-05,-4.37320432e-06,0,0,0,0,0,0
