tick,u1,u2,u3,u4,u5,u6,u7,u8
421,30,0.0,0.0,30,0.0,0.0,0.0,0.0
422,30,0.0,0.0,30,0.0,0.0,0.0,0.0
423,30,0.0,0.0,30,0.0,0.0,0.0,0.0
424,30,0.0,0.0,30,0.0,0.0,0.0,0.0
425,30,0.0,0.0,30,0.0,0.0,0.0,0.0
426,10,0.0,0.0,10,0.0,0.0,0.0,0.0
427,10,0.0,0.0,10,0.0,0.0,0.0,0.0
428,10,0.0,0.0,10,0.0,0.0,0.0,0.0
429,10,0.0,0.0,10,0.0,0.0,0.0,0.0
430,10,0.0,0.0,10,0.0,0.0,0.0,0.0
431,30,0.0,0.0,30,0.0,0.0,0.0,0.0
432,30,0.0,0.0,30,0.0,0.0,0.0,0.0
433,30,0.0,0.0,30,0.0,0.0,0.0,0.0
434,30,0.0,0.0,30,0.0,0.0,0.0,0.0
435,30,0.0,0.0,30,0.0,0.0,0.0,0.0
436,10,0.0,0.0,10,0.0,0.0,0.0,0.0
437,10,0.0,0.0,10,0.0,0.0,0.0,0.0
438,10,0.0,0.0,10,0.0,0.0,0.0,0.0
439,10,0.0,0.0,10,0.0,0.0,0.0,0.0
440,10,0.0,0.0,10,0.0,0.0,0.0,0.0
441,30,0.0,0.0,10,0.0,0.0,0.0,0.0
442,30,0.0,0.0,10,0.0,0.0,0.0,0.0
443,30,0.0,0.0,10,0.0,0.0,0.0,0.0
444,30,0.0,0.0,10,0.0,0.0,0.0,0.0
445,30,0.0,0.0,10,0.0,0.0,0.0,0.0
446,10,0.0,0.0,10,0.0,0.0,0.0,0.0
447,10,0.0,0.0,10,0.0,0.0,0.0,0.0
448,10,0.0,0.0,10,0.0,0.0,0.0,0.0
449,10,0.0,0.0,10,0.0,0.0,0.0,0.0
450,10,0.0,0.0,10,0.0,0.0,0.0,0.0
451,10,0.0,0.0,30,0.0,0.0,0.0,0.0
452,10,0.0,0.0,30,0.0,0.0,0.0,0.0
453,10,0.0,0.0,30,0.0,0.0,0.0,0.0
454,10,0.0,0.0,30,0.0,0.0,0.0,0.0
455,10,0.0,0.0,30,0.0,0.0,0.0,0.0
456,30,0.0,0.0,30,0.0,0.0,0.0,0.0
457,30,0.0,0.0,30,0.0,0.0,0.0,0.0
458,30,0.0,0.0,30,0.0,0.0,0.0,0.0
459,30,0.0,0.0,30,0.0,0.0,0.0,0.0
460,30,0.0,0.0,30,0.0,0.0,0.0,0.0
461,10,0.0,0.0,10,0.0,0.0,0.0,0.0
462,10,0.0,0.0,10,0.0,0.0,0.0,0.0
